Unnamed: 0.1,restaurant_name,restaurant_type,rating,num_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local address,rating_category
3770,Manasa Cool Cafe,Cafe,3.2,7,300.0,yes,no,"Fast Food, Juices, Cafe, Desserts",Electronic City,Electronic City,Good
3771,Manasa Fishland,Casual Dining,4.1,201,650.0,yes,no,"Seafood, South Indian, North Indian",Kalyan Nagar,Kalyan Nagar,Very Good
3772,Manbhavan Premium Thali Restaurant,Casual Dining,4.0,485,1000.0,yes,no,"Hyderabadi, Gujarati, Maharashtrian",Whitefield,Whitefield,Very Good
3773,Manchow,Casual Dining,3.8,157,600.0,yes,yes,"Chinese, Asian, Momos",Bellandur,Bellandur,Good
3774,Manchu Cafe,Quick Bites,3.7,24,300.0,yes,no,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",Koramangala 7Th Block,Btm,Good
3775,Mandara - Imera Spa & Resort,Casual Dining,3.5,115,1200.0,no,no,"North Indian, South Indian, Chinese",Sarjapur Road,Sarjapur Road,Good
3776,Mandarin Box,Quick Bites,3.9,80,500.0,no,no,Chinese,Brigade Road,Church Street,Good
3777,Mandi,Casual Dining,3.8,560,800.0,yes,yes,North Indian,Bannerghatta Road,Jp Nagar,Good
3778,Mandya Gowdru Donne Biriyani,Quick Bites,3.8,281,350.0,yes,no,"Biryani, South Indian",Bellandur,Hsr,Good
3779,Mandya Gowdru Hotel,Quick Bites,3.3,5,200.0,no,no,South Indian,Brookefield,Brookefield,Good
3780,Mandya Naati Style Hotel,Quick Bites,3.3,4,300.0,no,no,South Indian,Marathahalli,Marathahalli,Good
3781,Mandya Umesh Nati Style Hotel,Quick Bites,3.4,7,350.0,no,no,South Indian,Marathahalli,Marathahalli,Good
3782,Mane Holige,"Sweet Shop, Quick Bites",4.3,141,200.0,no,no,"Mithai, South Indian",Basavanagudi,Jayanagar,Very Good
3783,Mane Thindi,Quick Bites,3.7,130,200.0,no,no,South Indian,Banashankari,Banashankari,Good
3784,Mangala Hotel,Quick Bites,2.8,40,100.0,no,no,South Indian,Bellandur,Sarjapur Road,Average
3785,Mangalore Kitchen,Quick Bites,3.8,42,500.0,yes,no,"North Indian, Arabian, Chinese",Rajajinagar,Vijay Nagar,Good
3786,Mangalore Lunch Home,Quick Bites,3.1,33,300.0,yes,no,"Mangalorean, Seafood",Kalyan Nagar,Hbr Layout,Good
3787,Mangalore Pearl,Casual Dining,3.8,242,650.0,yes,no,"Mangalorean, Seafood, Chinese, Biryani",Banashankari,Jayanagar,Good
3788,Mangalore Pearl - Seafood Restaurant,Casual Dining,4.3,94,550.0,yes,no,"Mangalorean, Seafood",Brigade Road,Ulsoor,Very Good
3789,Mango Greens,Casual Dining,3.9,48,900.0,no,yes,"North Indian, Continental, Chinese",Bannerghatta Road,Jp Nagar,Good
3790,Mango Tree Grand,Quick Bites,3.8,112,700.0,yes,no,"Andhra, North Indian",Bellandur,Bellandur,Good
3791,Mango Tree- The Beer Garden,Casual Dining,4.1,1320,1200.0,yes,yes,"North Indian, Chinese, Continental",Bannerghatta Road,Jp Nagar,Very Good
3792,Manifest Cafe,Casual Dining,3.5,10,500.0,no,no,"South Indian, North Indian, Chinese",Banashankari,Banashankari,Good
3793,Mani'S Dum Biryani,Casual Dining,3.5,119,750.0,yes,no,"Biryani, Kebab",Kalyan Nagar,Kalyan Nagar,Good
